project_id,project_name,project_slug,cmc_id,symbol,value,previous_value,metric_slug,timestamp,unix_time
58f5ef61-7951-4899-ba2f-14cea8272d73,NEO,neo,1376,NEO,870,870.0,fcas,2021-04-18T00:00:00Z,1618704000
394998bd-0cb1-4ed3-ad3c-974100295602,0x,0x,1896,ZRX,868,867.0,fcas,2021-04-18T00:00:00Z,1618704000
e0b02446-6f68-49bf-831a-cbff90fdef18,NEAR Protocol,near-protocol,6535,NEAR,863,841.0,fcas,2021-04-18T00:00:00Z,1618704000
b940b23d-bfc6-406c-8997-2944ac55aed6,Avalanche,avalanche,5805,AVAX,857,864.0,fcas,2021-04-18T00:00:00Z,1618704000
a6cb6d71-c9f8-4b7d-bd1b-6eb1f9ad5286,Dogecoin,dogecoin,74,DOGE,857,846.0,fcas,2021-04-18T00:00:00Z,1618704000
65133937-97dd-4497-b263-5ea61a013d2c,Bitcoin Cash,bitcoin-cash,1831,BCH,856,855.0,fcas,2021-04-18T00:00:00Z,1618704000
c33426b2-78c9-4527-932b-a4713a896847,Zcash,zcash,1437,ZEC,854,849.0,fcas,2021-04-18T00:00:00Z,1618704000
e4e5e01a-d07b-4427-8e8e-464a93486119,Bancor,bancor,1727,BNT,854,856.0,fcas,2021-04-18T00:00:00Z,1618704000
b3937f67-446a-484e-a5b2-02a4b73b5133,VeChain,vechain,3077,VET,850,833.0,fcas,2021-04-18T00:00:00Z,1618704000
3590c32d-c0a9-41fb-8633-9e245efc105c,Storj,storj,1772,STORJ,849,850.0,fcas,2021-04-18T00:00:00Z,1618704000
7e41a71f-1cb8-40d2-b452-c5e3a09ce007,Dash,dash,131,DASH,846,844.0,fcas,2021-04-18T00:00:00Z,1618704000
cd87edaa-ae9c-4799-8014-49fb21667933,OmiseGO,omisego,1808,OMG,831,826.0,fcas,2021-04-18T00:00:00Z,1618704000
98372a8d-ca5b-47b1-8eaf-f0c53ce92142,Basic Attention Token,basic-attention-token,1697,BAT,823,832.0,fcas,2021-04-18T00:00:00Z,1618704000
5eef2218-fc2d-4a08-b72f-f76f2b914c32,Kyber Network,,1982,KNC,822,825.0,fcas,2021-04-18T00:00:00Z,1618704000
6f71b332-ee6c-4510-b126-561ba0f2a317,Binance Coin,binance-coin,1839,BNB,822,826.0,fcas,2021-04-18T00:00:00Z,1618704000
